country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita
Maldives,25.8968253968254,2.73333333333333,300.0,1972.0,89.35456211184662,-0.4897663251807293,0.2802480012178421,95.61824694546789,2.109375,,791.9516129032259,964.1285298064515,1020.5114285714285,4.888363683168603,4.463139910285108,5.552926356505059,,37.07029040005263,11.886553505413794,21.19703357079418,0.055875362828373916,0.3293358093748489,,147.0,,55.75041666666667,18.849623133952385,2.5761241999999998,,1714876940.7030725,0.4083113751839848,0.31776521665354573,-0.26555620273575187,0.27596907690167427,-0.050496957342450834,0.28984346364935243,4.60488484216773,4.620021762857142,28.4,35.075,28.224357142857144,5.659523809523809,70.44290476190476,311214.67441860464,208035.3023255814,-0.5765577778220174,0.2134645177672306,1.9506440997822867,4290.273843291498
Mali,29.678588058938658,10.896663634352,1220190.0,282.0,15.722076374975812,-0.7109762281179428,0.18209154779712355,25.189778625448316,80.0603125,,1835.4727741935485,25721.066773225804,9.187588177400091,2.6913367408643025,0.9525062462968101,,0.290046662092209,,13.014320615291824,12.522409386980806,-0.9412073865532884,0.19234344735741615,0.31892492318153404,148.0,42.55,53.88916666666667,5.42486989075,2.45805,2.048667729613396,5563252521.968984,-0.8213287148003771,0.27110150580604875,-0.5156184146180749,0.17229176126420495,-0.5257973993817965,0.1970207678774993,3.418665894440242,1.0525607252380953,39.8,38.983333333333334,47.4632,19.173272727272728,47.27207272727273,11413870.839285715,7889088.678571428,-0.1077012095677977,0.14266450672099992,,378.3897782174112
Malta,36.05348557692308,1.146484375,320.0,560.0,101.49064916509411,0.7178316190838813,0.2379393596202135,99.99993944168091,1.984193548387097,3203.932723069216,2299.6451612903224,2659.699640516129,1181.4846153846154,3.1774088209158764,4.331418403894159,2.6680890350877187,0.5712964922189713,58.63239539687892,31.910878425911775,53.0503346990813,1.0028365204731622,0.2409055382013321,0.6997392239570617,88.0,98.8,76.28071428571427,42.20532672269697,3.0442551666666664,0.7478048530171728,5373658718.239325,1.2166075656811395,0.2709921635687352,1.2440032263596852,0.20418930860857176,1.1363954097032545,0.2655525902907053,4.731787611137738,5.532753786666667,21.418181818181818,29.366666666666667,13.296153846153846,8.259615384615385,76.62481332082552,380962.58490566036,29858.64150943396,1.1790666778882333,0.17912133069088054,1.2642210829069123,12519.83362294947
Marshall Islands,44.62365591397848,52.2222222222222,180.0,,38.92953349862656,-0.021493707169106042,0.46150191790527767,84.06268176044752,14.86375,,112.65806451612903,147.97887177419355,282.9691756272402,,,,,54.577049387243704,17.555230500354277,57.658361237484215,-0.7748483752624857,0.4576571004258263,0.413882881402969,153.0,,26.109999999999996,7.024794808499999,,,131804705.80124629,1.0602001160383225,0.4680192679166793,0.41434115051621717,0.48466049631436675,-0.8836785240305797,0.41842821737130476,12.197589079538988,6.371490365714286,,35.5,35.07587804878049,7.072658536585365,63.128268292682925,48049.28571428572,14476.738095238095,1.165851508577665,0.28427030394474656,6.268149476116424,2721.160076853015
Mauritania,38.43416936126492,0.3800513819491608,1030700.0,92.0,14.153879428185112,-0.6612085585171977,0.20990086098512017,33.51524196268593,37.3615625,,1805.5290322580645,9788.007579064517,2.228231187781024,5.637735309812133,8.994725053795385,12.907371126512892,0.0101899998262525,,,,-0.6991338481505713,0.2185327603171269,0.368379190524419,152.0,37.65,48.239642857142876,9.555307364935484,2.2924849999999997,2.974927331981532,2675777976.198487,-0.43373166645566613,0.2903994955122471,-0.7329950469235578,0.18377162329852584,-0.6285752976934117,0.2108468941102424,2.0389923768884994,0.9474602185714286,,38.9,40.710868852459015,11.130868852459015,57.76936065573771,2335984.6774193547,1391188.4032258065,-0.8380205581585565,0.1513522534320751,1.11949297037001,898.9461751455231
Mauritius,49.97535390685085,19.81142595975245,2022.108695652174,2041.0,34.81129782909822,0.284513641614467,0.19316555373370656,99.29015377044679,21.348064516129032,1047.8630458771752,2844.329032258064,4751.037896677419,563.1511947670919,7.2202535211457555,7.773956764230866,7.635662878787881,0.3276259978612263,38.126421657854465,17.602275542898738,21.541313920283464,0.776174268995722,0.24373366311192515,0.617817002773285,13.0,19.1,75.97178571428572,23.457043517,2.5691531666666667,0.2211070317721022,6039994793.54448,0.8967685649792349,0.2854778344432512,0.8768613412976266,0.1799339012553295,0.7414842632909612,0.2520950473845005,4.000354051589965,2.0372443033333334,,37.0,17.202173913043477,7.210869565217391,70.5278854718982,1140854.3404255318,659728.1276595745,0.8276779775818187,0.1536179333925247,2.3163583448104403,4977.6100988487
Mexico,52.02344474386486,34.85875274409064,1943950.0,757.8983050847457,6.036306734865659,-0.5786532604446014,0.154270709802707,97.99452317316081,10.995806451612903,1406.7451251250513,401457.8258064516,576395.5713290322,42.90605000212934,18.686117880846698,2.465898768384763,1.6057256434640712,0.37234519839286806,30.300714874824994,10.523271716039716,15.666898868892375,0.06258545257151124,0.201679435869058,0.6051814274787903,60.0,32.6,87.1475,24.99986469759375,3.024621428571429,0.5182939775049515,519287221122.0518,-0.6165375608640412,0.24520132442315412,-0.5544198093314966,0.15601356700062743,0.20547971463141332,0.20084260962903489,4.285287848540714,2.6780344866666668,44.46666666666667,49.666666666666664,30.606983870967742,7.271709677419355,68.06566129032258,83358926.1904762,22998134.793650795,0.09017689100195024,0.1373620613788566,17.511128404952967,4992.727425080147
"Micronesia, Fed. Sts.",7.557603686635946,91.46290322580644,700.0,,37.348553349405535,0.2521517680663812,0.34163356454748856,65.04213330423521,1.2628125,,142.05483870967743,202.61310612903227,156.60479262672823,2.5918529541216198,12.540527985621843,,,25.838300572815236,8.732649853188335,19.340195052803224,-0.14919422331609225,0.37385181376808563,0.4861916601657865,158.0,7.3,28.788988095238086,14.664057749516129,,,255875357.89473686,1.1075412690639492,0.29868208095431326,0.4498840763311213,0.3789100684225559,-0.6189073379102502,0.2880111517090545,10.86008188941261,2.6415591866666666,,41.25,28.315837837837837,5.321648648648649,69.68318918918918,107086.02631578948,81934.26315789473,1.05780257532994,0.2665327563881874,0.897839349605175,2358.0471152375026
Middle East & North Africa,30.49126217008696,1.9457860644428588,11224975.851851853,,15.945134025768109,,,95.33528248866905,2.169696875432924,1386.9930821275384,1729257.7732258064,2543167.3394541615,25.930233080228454,5.348083531167319,,,1.3713095103927788,,,,,,,,20.2555555555556,,21.39062649634376,2.8239251757334514,6.759475689869987,1425216322430.584,,,,,,,4.9963504757199955,2.7137798089636256,,,31.682915542681286,8.164611124811792,65.1083966479497,294724761.2181818,122870238.61818182,,,3.7416666666666667,3966.8949958282637
Middle East & North Africa (IDA & IBRD countries),23.685440936050334,2.361499737743151,8636722.298245614,,11.973516266916338,,,94.58841980374092,3.0669029321166255,853.6027102083931,1018181.8141935484,1583471.8564971935,28.55299627226244,6.690570434415292,,,0.5136880830455299,,12.091168147948933,23.624981278414523,,,,,9.58571428571429,,18.782722985558042,2.5001677597402603,4.837551709167182,636551273688.5505,,,,,,,4.612282067537306,2.3217553402812485,,,32.74977568742816,9.043894106544881,63.499387794792774,249562483.8448276,113761109.65517241,,,3.966666666666667,2102.821901556167
