country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Argentina,2832.2757195005643,370.4166956067366,166938090.0,34869.0,219.26415589325572,-8.326118610799314,3.708522260189055,3098.748444754067,293.65,76650.13654680058,4528824.4,9921745.0341,735.0996130361863,0.0,-60.96336379079278,0.0,12.898569941520693,0.0,334.9043662884318,423.7036740506424,-1.8127588694915147,4.84665684401989,2.41906851387024,126.0,440.1,465.03125,1095.453437524,20.769104,102.47960961090692,12396843754202.45,-1.5046795334201308,5.959070518612861,-12.320295952260492,3.76368089020252,-12.61223250627518,4.830684795975682,148.96018064022064,110.5922606,0.0,1552.2,1300.054,509.719,4406.796,2078324334.0,274980269.0,9.759703040122986,3.317897409200669,131.57455001267692
Armenia,1612.1503336845801,349.0914646996839,854100.0,16298.0,664.7042677832425,-13.330809449777005,4.075907766819003,2189.022233276367,270.84000000000003,39243.03935614916,177109.79,280044.010952,3222.9988057604487,3678.520567852022,427.82664668767626,173.5419990657421,5.859660014510156,173.5099944613631,337.490658634659,396.6627839922089,-5.513097964227199,5.344472438097002,1.7327247591018669,47.0,47.2,573.9416666666667,723.273215076,17.208236,108.74750005599267,227642212961.07648,-6.620210087392479,6.635468780994417,-8.52918937802315,4.036996394395829,3.65818514302373,5.044415503740311,66.68518078327178,31.38631827,294.2,725.9,1282.51,556.317,4233.245,184569603.0,67095276.0,-11.412949152290821,3.613533481955527,98.67845051096602
Aruba,677.7777777777771,74.66666666666656,10980.0,0.0,3579.887577255642,21.648344397544857,6.109189659357072,3182.607388396287,89.79,0.0,0.0,0.0,26214.922222222227,103.50889185809383,239.2998894858503,0.0,0.0,0.0,0.0,0.0,21.545845985412598,6.749632954597472,0.0,0.0,0.0,0.0,943.771065511,0.0,0.0,75808798193.45114,24.260389566421495,5.568313792347908,22.082012832164754,5.0188325345516205,20.663090705871575,6.545235008001327,90.53798007965086,0.0,0.0,0.0,1139.381,416.189,4452.357,4879739.0,2576277.0,22.198815405368798,5.730126261711122,67.85557917871986
Australia,3568.0518200370802,550.4121529788068,468678620.0,32040.0,304.53632043854077,44.85630846023559,3.750454470515251,3200.0,259.96,389961.538656738,10876835.3,18050927.4547,138.66885775505597,295.4132150878517,206.736683483662,32.519812952220754,25.33906006813049,1069.1852499897377,1116.6763489763423,1264.9660060203973,39.86619019508363,5.23914681375027,3.108917263031006,14.0,0.0,617.7645833333335,1581.305588619,26.414161,140.5801746865977,31678933063418.305,23.551717817783363,5.937594205141064,41.52708506584166,3.9929546117782593,41.43600988388063,5.443010851740838,201.87693309783936,133.29138946,0.0,402.2,968.3,454.7,4763.063414634147,1101767856.0,165486408.0,33.57815265655517,3.78479604423046,45.55103375877939
Austria,2238.977639360155,1492.0957949587978,5033720.0,66600.0,487.5887895292658,39.56833481788634,3.869873225688935,3200.0,891.66,296668.9027060614,2031099.5,2485846.09322,5835.196982549684,207.87540370938794,0.0,0.0,65.66807997226714,1848.4762830543903,1121.5437465595949,2040.3648334815327,39.88718521595002,5.052255839109424,3.0461949877738963,27.0,96.2,624.4108333333332,1704.393596641,27.486572,72.42183642229068,12101974916562.887,26.321054279804223,6.011832937598226,43.87277913093567,3.95635750889778,35.6121459007263,5.443010851740838,262.84554052352905,154.07724905,200.9,784.6,746.5,678.9,4680.963414634147,497609845.0,189810040.0,33.28259420394895,3.656052000820638,26.936825460993923
Azerbaijan,1705.6139112340577,372.610268091898,2483318.0,12963.0,585.1100398424758,-26.033031284809113,3.850427120923996,2289.798777259246,70.92999999999999,52174.13943549842,1014151.7,1510655.02541,3161.2198552678315,3353.5863259504044,249.87087834022356,176.1381433825908,6.489730000495913,56.26955232818165,283.87997372208514,456.6865219551231,-13.304885007441044,5.180383548140528,2.301537093639373,28.0,34.7,468.1725,948.5673394180001,9.858376,105.54440007322768,970892906047.6089,-17.786709830164906,6.283354416489602,-19.68672734498978,3.777615487575531,-11.455470509827137,4.994576603174212,88.74869942665099,21.24764283,0.0,176.5,1516.717,490.587,3941.421,453681688.0,212832086.0,-31.36636388301851,3.440613888204099,86.65588977453635
"Bahamas, The",67.23276723276729,1629.9220779220768,610610.0,77520.0,2496.3483511052573,30.34608697891235,6.587434530258178,3200.0,30.66,0.0,65836.1,73519.707932,1686.7617382617384,227.0238148280092,150.18579184156852,173.7203916729166,0.0,1122.5597577660344,426.8034032444998,518.9560617966918,21.887550622224804,6.995225593447684,0.0,119.0,17.4,341.2245833333333,1161.121390984,16.390903,0.0,317292029132.12396,22.6410664319992,6.750276893377305,18.116322450339794,5.413770064711571,14.081276059499938,6.578563317656518,34.42127013206481,48.80591511,0.0,0.0,1389.323,400.337,4307.063,17408969.0,3762837.0,23.734669685363773,4.658737391233446,631.6714800302519
Bahrain,819.9762958800625,19.52967225876017,43710.0,4980.0,1429.246951609475,4.971766345202922,4.802923336625099,3199.8928833007812,0.0,605874.5966586315,659739.04,1044929.91498,54664.52758004897,201.27330815080083,206.08342677473982,139.74232129506012,0.101159997284412,321.3318669328552,120.84554447265609,639.3199000803727,10.833377689123154,5.325128331780433,2.5892830662727357,43.0,0.0,378.00375,1366.31548414,22.397137,215.8119780979996,692344429977.4052,-10.950961451046167,6.2364984899759275,10.1886116694659,4.332928121089934,16.523941934108738,5.504331529140469,35.74385488033295,53.94621903,0.0,0.0,1667.0240000000001,274.754,4428.934,41872672.0,4980777.0,-26.146760046482086,3.582907952368258,12.363804757765005
Bangladesh,4532.04332795575,467.6827325804717,7940370.0,159960.0,205.91855208957102,-25.9703185558319,3.941686987876892,1527.87887118918,1530.76,4213.306864834406,1286782.9,4364577.7942,51299.40235077203,226.05822469598834,237.57146711090266,94.25398759415035,0.0,94.53028678642559,159.53426687872758,180.12945664915824,-18.121467977762222,4.884865716099738,1.401589719295502,168.0,67.9,433.4508333333333,214.903369937,15.617242000000001,59.129469979217916,4864901625891.685,-28.538746803998954,6.073977857828137,-19.713762700557716,3.859105050563814,-22.555867493152615,4.724581539630889,62.635957837104804,11.42675965,0.0,306.6,2164.059,757.526,3595.282,6899226005.0,5271318559.0,-11.709909085184336,3.315191321074962,50.30766111728919
Barbados,2426.7441860465115,468.8372093023264,26230.0,85320.0,1902.9663757912792,33.7176089286804,6.082000777125357,3199.7354431152344,212.75,0.0,37939.34,111244.629723,36789.47441860465,326.69430762960906,246.91782659870992,202.20250000408342,0.0,1197.0414933257741,353.4547132074397,441.7405341699189,27.258694380521778,7.296325027942659,0.0,128.0,49.3,64.6275,1352.010655471,0.0,0.0,141688004990.68054,25.9740538597107,7.136758312582971,23.726600229740136,5.23274713754654,18.122379064559933,6.951570823788645,133.56917572021482,72.48980116999999,0.0,0.0,1038.93,555.744,4493.11,16333659.0,10543599.0,27.005850434303262,4.604414895176887,292.97240872385163
