date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
1986-01-01,8417.885582484225,0.0,1123695558.87,197358.1,2729.937906998162,0.0,0.0,0.0,0.0,382927.9902181828,0.0,0.0,65897.08104123158,2210.4339848849336,250.70467889478905,109.67126920376553,0.0,0.0,941.9247387404098,1496.0474096012554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.7240944149211,110653314138129.14,0.0,0.0,0.0,0.0,0.0,0.0,266.22701996564865,0.0,0.0,640.9,7881.638062781367,2664.7917412130682,16300.67802447619,51673605444.0,31676397151.0,0.0,0.0,0.0
1987-01-01,8438.879461697126,0.0,1123694959.35,197337.1,2813.249286170531,0.0,0.0,0.0,0.0,394979.0700227373,0.0,0.0,67153.44692565726,2204.348617288525,61.52586396801158,123.81764260693767,0.0,0.0,919.8612848235102,1491.9880556687478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.5452634425499,126003496620739.08,0.0,0.0,0.0,0.0,0.0,0.0,242.10366952419278,0.0,0.0,829.3,7792.330648680526,2642.3961437963403,16365.81204509243,52654526631.0,32065201417.0,0.0,0.0,0.0
1988-01-01,8458.772927923217,0.0,1123694879.83,197358.1,2831.809161438025,0.0,0.0,0.0,0.0,407318.6525302403,0.0,0.0,68445.13037443484,3631.283477433431,674.2993517320859,126.82729255518917,0.0,0.0,965.1418161220197,1518.7034817325257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.4205604077989,142462076594647.75,0.0,0.0,0.0,0.0,0.0,0.0,258.01852571964264,0.0,0.0,543.7,7704.692437298326,2661.036469529742,16394.96595129447,53642955786.0,32450850229.0,0.0,0.0,0.0
1989-01-01,8451.75647421662,0.0,1123684980.31,197358.1,2918.362320098004,0.0,0.0,0.0,0.0,413520.0283841169,0.0,0.0,69769.00983592187,9769.522599517244,25.53547983116399,120.52806624957232,0.0,78.256800399888,972.8704849827103,1458.768191236868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.9774674208711,150834594015238.94,0.0,0.0,0.0,0.0,0.0,0.0,255.16102099418646,0.0,0.0,816.6,7597.43215427449,2559.609267868285,16516.96301668329,54631076905.0,32835339167.0,0.0,0.0,0.0
1990-01-01,8436.496458865535,7162.704111842467,1123684980.79,197358.1,2952.2778900016165,0.0,0.0,10436.543492246003,8229.47766132609,514692.3374543929,177641569.089169,269724315.783631,71391.99816643733,14184.359871401455,100.23599371554715,127.05389225174056,0.0,2993.3435638419273,1355.809876236095,1969.5310940323334,0.0,0.0,0.0,0.0,0.0,0.0,6.774784598870763,0.0,546.5410524259784,171424112889284.62,0.0,0.0,0.0,0.0,0.0,0.0,213.01262593269348,0.0,0.0,903.0,7561.759971593735,2558.5985518263365,16696.540497625032,55636421100.0,33221664057.0,0.0,0.0,609.9601026172352
1991-01-01,8507.964553089349,7449.095149651633,1123706461.27,197358.1,3093.4847450847733,0.0,0.0,10882.510638648224,8277.451599118109,511915.8093433567,179080474.314243,271526386.446103,73218.83254178813,6468.282496079528,114.13064873415836,207.56935955599008,0.0,3159.01903862052,1365.771773849249,2127.493106467523,0.0,0.0,0.0,0.0,0.0,0.0,13.79122748898182,0.0,636.3626471752085,176828556163554.06,0.0,0.0,0.0,0.0,0.0,0.0,241.13296627998355,0.0,0.0,812.4,7436.402744751429,2557.466562494748,16664.04207419937,56619592137.0,33586873928.0,0.0,0.0,638.0171473992957
1992-01-01,9360.479158044758,8308.88998069791,1362660589.75,209177.1,3266.016340559165,0.0,0.0,11876.710082355678,8414.287097345912,513092.61586974235,178863403.965152,270832226.092987,74592.80887258271,12070.94053014965,231.86626489439024,228.3145680448895,0.0,3098.224151838461,1407.4956387547861,2114.063229239035,0.0,0.0,0.0,0.0,0.0,0.0,24.58870381917505,0.0,553.3918692472043,188842669407481.16,0.0,0.0,0.0,0.0,0.0,0.0,268.74767464399326,0.0,0.0,1457.9,7306.590290815111,2565.2190678885213,16669.820487419496,57588075063.0,33938830200.0,0.0,0.0,766.4873194889058
1993-01-01,9501.644609532186,8382.728324272235,1363670504.23,211931.1,3426.7768864336904,0.0,0.0,12577.104248619287,8449.011562008802,515564.2328208907,179798320.33540198,272011460.45690703,76011.57497394577,20031.285918063124,259.16863784312784,218.13051428479767,0.0,3073.8153392742092,1428.6745850770592,2128.1799126262695,0.0,0.0,0.0,0.0,0.0,0.0,36.88849782106709,0.0,563.684861003009,193765019984079.06,0.0,0.0,0.0,0.0,0.0,0.0,283.53898000717163,0.0,0.0,1087.7,7161.142591921239,2541.6049461456714,16723.30572921403,58551119420.0,34283307727.0,0.0,0.0,802.5396389779053
1994-01-01,9488.238512609587,8380.179232137145,1363520388.71,211931.1,3456.610670208323,0.0,0.0,12917.14356699247,8457.239139301208,522660.8547371788,180107307.938819,273972428.29271203,77181.4381435977,42422.76833807626,217.59644626962398,318.2661617466791,0.0,3296.1417327716276,1447.6891124414822,2286.9893848565757,0.0,0.0,0.0,0.0,0.0,0.0,74.52119530573249,0.0,533.0441400822416,205962708944153.28,0.0,0.0,0.0,0.0,0.0,0.0,374.5855742692947,0.0,0.0,1120.0,7011.605490730086,2569.4618675913075,16866.964302210083,59506437753.0,34614452170.0,0.0,0.0,1003.5020654148216
1995-01-01,9479.656442955358,8367.851291773344,1363487629.19,211931.1,3524.5600552485666,0.0,0.0,13460.65172079529,8500.414915835376,533352.2200318577,185884306.489241,281485129.659604,77975.01791876479,8839.33500745107,263.7069480310643,328.580635613663,0.0,3355.23327940171,1662.6129059324655,2629.414066521303,0.0,0.0,0.0,0.0,0.0,0.0,158.75123331153674,0.0,470.93215823240547,230490280496147.9,0.0,0.0,0.0,0.0,0.0,0.0,379.1936429738999,0.0,0.0,1501.3,6879.872131890865,2479.6247742814803,16982.936029056054,60454527460.0,34935655931.0,0.0,0.0,963.0626812573862
